x,y
15.275000000000002,3882
17.625,509
19.975,482
22.325000000000003,434
24.675,366
27.025000000000002,348
29.375000000000004,273
31.725,257
34.074999999999996,231
36.425,189
38.775,150
41.125,152
43.475,151
45.824999999999996,123
48.175,94
50.525,98
52.875,89
55.225,67
57.575,72
59.925,45
62.275,59
64.625,53
66.975,45
69.325,51
71.675,32
74.025,46
76.375,35
78.725,31
81.075,24
83.425,30
85.775,17
88.125,17
90.475,18
92.825,18
95.175,8
97.525,9
99.875,13
102.225,17
104.575,3
106.925,8
109.275,5
111.625,9
113.97500000000001,5
116.325,6
118.675,3
121.025,4
123.375,3
125.72500000000001,6
128.07500000000002,3
130.425,4
132.775,5
135.12500000000003,1
137.47500000000002,2
142.175,5
144.525,3
146.87500000000003,4
149.22500000000002,1
151.57500000000002,4
153.925,3
156.275,1
158.62500000000003,2
160.97500000000002,1
165.675,2
168.025,1
170.37500000000003,1
172.72500000000002,2
182.12500000000003,3
184.47500000000002,1
189.175,1
203.275,1
207.97500000000002,1
243.22500000000002,1
245.57500000000002,1
250.27500000000003,3
