x,y
270,2
290,2
310,2
330,6
350,10
370,16
390,28
410,40
430,46
450,67
470,67
490,94
510,116
530,134
550,134
570,169
590,183
610,200
630,215
650,220
670,237
690,275
710,246
730,298
750,300
770,249
790,289
810,303
830,302
850,316
870,302
890,283
910,317
930,289
950,284
970,291
990,265
1010,296
1030,261
1050,246
1070,283
1090,258
1110,214
1130,236
1150,217
1170,222
1190,229
1210,216
1230,200
1250,158
1270,164
1290,166
1310,133
1330,150
1350,117
1370,147
1390,127
1410,113
1430,96
1450,101
1470,98
1490,76
1510,67
1530,86
1550,68
1570,58
1590,55
1610,54
1630,40
1650,51
1670,39
1690,40
1710,35
1730,24
1750,23
1770,22
1790,17
1810,21
1830,13
1850,18
1870,8
1890,11
1910,10
1930,11
1950,9
1970,9
1990,8
2010,58
