x,y
15.125,3925
15.375,3642
15.625,3510
15.875,3218
16.125,3118
16.375,2991
16.625,2709
16.875,2563
17.125,2500
17.375,2254
17.625,2088
17.875,2053
18.125,1910
18.375,1812
18.625,1687
18.875,1565
19.125,1528
19.375,1468
19.625,1412
19.875,1350
20.125,1261
20.375,1196
20.625,1172
20.875,1071
21.125,1028
21.375,1011
21.625,957
21.875,957
22.125,898
22.375,807
22.625,766
22.875,775
23.125,731
23.375,759
23.625,719
23.875,671
24.125,677
24.375,683
24.625,639
24.875,637
25.125,582
25.375,608
25.625,539
25.875,524
26.125,573
26.375,536
26.625,534
26.875,531
27.125,563
27.375,516
27.625,488
27.875,465
28.125,430
28.375,452
28.625,432
28.875,425
29.125,419
29.375,425
29.625,402
29.875,371
30.125,416
30.375,372
30.625,368
30.875,397
31.125,380
31.375,349
31.625,366
31.875,368
32.125,361
32.375,316
32.625,340
32.875,324
33.125,332
33.375,305
33.625,313
33.875,306
34.125,309
34.375,304
34.625,308
34.875,279
35.125,289
35.375,287
35.625,321
35.875,302
36.125,279
36.375,298
36.625,263
36.875,267
37.125,251
37.375,247
37.625,249
37.875,240
38.125,256
38.375,252
38.625,260
38.875,229
39.125,253
39.375,217
39.625,225
39.875,227
40.125,23140
