0,14.775
18018,15.225
16141,15.675
14508,16.125
12925,16.575
11608,17.025
10201,17.475
9377,17.925
8373,18.375
7478,18.825
6847,19.275
6260,19.725
5707,20.175
5188,20.625
4619,21.075
4307,21.525
4016,21.975
3605,22.425
3281,22.875
3165,23.325
2957,23.775
2860,24.225
2599,24.675
2503,25.125
2306,25.575
2265,26.025
2081,26.475
2048,26.925
1933,27.375
1822,27.825
1722,28.275
1675,28.725
1556,29.175
1515,29.625
1460,30.075
1403,30.525
1425,30.975
1250,31.425
1284,31.875
1226,32.325
1221,32.775
1133,33.225
1117,33.675
1072,34.125
1047,34.575
1001,35.025
1032,35.475
1028,35.925
988,36.375
952,36.825
873,37.275
861,37.725
864,38.175
840,38.625
812,39.075
772,39.525
747,39.975
765,40.425
769,40.875
742,41.325
678,41.775
724,42.225
670,42.675
655,43.125
643,43.575
660,44.025
548,44.475
601,44.925
554,45.375
595,45.825
530,46.275
534,46.725
549,47.175
480,47.625
516,48.075
529,48.525
502,48.975
464,49.425
468,49.875
480,50.325
458,50.775
469,51.225
467,51.675
450,52.125
428,52.575
365,53.025
434,53.475
384,53.925
357,54.375
398,54.825
331,55.275
348,55.725
367,56.175
371,56.625
346,57.075
346,57.525
365,57.975
337,58.425
288,58.875
302,59.325
300,59.775
21482,60.225
