x,y
-0.005,23
0.015,2
0.025,2
0.034999999999999996,1
0.045,1
0.065,1
0.07500000000000001,3
0.085,5
0.095,1
0.10500000000000001,1
0.115,4
0.125,2
0.135,1
0.14500000000000002,2
0.165,2
0.17500000000000002,1
0.185,3
0.195,6
0.20500000000000002,4
0.215,6
0.225,2
0.23500000000000001,5
0.245,5
0.265,2
0.28500000000000003,2
0.295,5
0.305,1
0.315,4
0.325,1
0.34500000000000003,1
0.365,3
0.375,2
0.395,4
0.41500000000000004,1
0.425,2
0.445,1
0.455,3
0.465,1
0.495,1
0.505,2
0.515,2
0.545,1
0.555,4
0.5650000000000001,2
0.585,2
0.595,1
0.605,1
0.625,1
0.635,2
0.645,2
0.665,2
0.675,4
0.685,1
0.6950000000000001,1
0.715,1
0.735,2
0.755,1
0.765,1
0.785,2
0.795,1
0.805,1
0.8150000000000001,2
0.8350000000000001,2
0.855,3
0.865,2
0.875,1
0.885,3
0.895,7
0.905,5
0.915,2
0.925,6
0.935,8
0.9450000000000001,4
0.9550000000000001,12
0.965,8
0.975,12
0.985,10
0.995,33
